season,leagueID,home_goals,home_xGoals,home_shots,home_shotsOnTarget,home_corners,home_ppda,home_yellowCards,home_redCards,away_goals,away_xGoals,away_shots,away_shotsOnTarget,away_corners,away_ppda,away_yellowCards,away_redCards,target,target_code
2015,1,1,0.627539,9,1,1,13.8261,2.0,0,0,0.6746,9,4,2,8.2188,3.0,0,Home Win,0
2015,1,0,0.876106,11,2,6,6.9,3.0,0,1,0.782253,7,3,3,11.8462,4.0,0,Away Win,2
2015,1,2,0.604226,10,5,8,6.65,1.0,0,2,0.557892,11,5,2,17.1579,2.0,0,Draw,1
2015,1,4,2.56803,19,8,6,10.88,2.0,0,2,1.45946,11,5,3,9.5556,4.0,0,Home Win,0
2015,1,1,1.13076,17,6,1,5.7368,1.0,0,3,2.10975,11,7,4,10.625,0.0,0,Away Win,2
2015,1,2,0.64396,11,3,4,10.3636,1.0,1,2,2.59203,17,10,8,8.8333,3.0,0,Draw,1
2015,1,2,1.54613,9,4,6,12.7222,2.0,0,2,1.2529,14,4,6,7.0,4.0,0,Draw,1
2015,1,0,1.33166,22,6,5,8.1667,1.0,0,2,0.535961,8,4,4,12.4545,3.0,0,Away Win,2
2015,1,0,0.381274,7,1,3,11.913,2.0,0,1,0.329873,8,3,5,9.3462,4.0,0,Away Win,2
2015,1,0,0.435238,9,2,6,23.2941,4.0,0,3,1.9242,20,7,6,8.087,1.0,0,Away Win,2
2015,1,0,0.219118,5,1,3,10.0333,2.0,0,1,0.660404,9,2,5,9.5,2.0,0,Away Win,2
2015,1,0,1.06214,17,4,9,8.8261,4.0,0,3,1.39628,10,4,9,15.8125,2.0,0,Away Win,2
2015,1,1,0.329128,6,2,6,10.1818,1.0,0,3,1.71686,18,6,6,10.6667,2.0,0,Away Win,2
2015,1,2,1.97424,19,6,4,6.2353,2.0,0,0,0.113109,4,2,4,34.3333,1.0,1,Home Win,0
2015,1,2,1.70614,13,7,4,10.125,2.0,0,2,2.80956,15,7,3,11.6071,2.0,0,Draw,1
2015,1,0,0.760848,16,5,2,5.9524,1.0,0,0,0.684036,6,0,4,11.5,2.0,0,Draw,1
2015,1,1,0.513491,10,3,8,6.375,1.0,1,2,1.80939,10,5,4,15.0455,3.0,0,Away Win,2
2015,1,1,0.964134,11,4,6,11.7083,1.0,0,2,2.05542,20,7,6,6.9655,1.0,0,Away Win,2
2015,1,3,2.18579,18,8,5,5.7273,4.0,0,0,0.482423,10,3,1,6.6207,2.0,0,Home Win,0
2015,1,1,2.15062,18,2,6,6.4138,1.0,0,0,0.460805,13,2,8,10.0,4.0,0,Home Win,0
2015,1,0,1.2491,20,8,11,4.7097,2.0,0,0,0.4384,7,0,5,18.4375,2.0,0,Draw,1
2015,1,1,3.14888,20,7,9,9.6333,4.0,0,1,0.698228,6,1,0,10.9286,1.0,0,Draw,1
2015,1,1,0.569426,10,2,3,10.1034,4.0,0,1,1.56064,20,9,4,8.5789,2.0,0,Draw,1
2015,1,2,1.23807,16,6,6,8.1667,3.0,0,1,0.765278,11,2,4,8.4762,3.0,0,Home Win,0
2015,1,1,0.829012,13,2,2,15.5789,1.0,0,1,1.89437,19,6,7,4.9474,4.0,0,Draw,1
2015,1,3,1.50203,10,4,5,9.9091,0.0,1,4,2.8554,15,7,4,10.7222,0.0,0,Away Win,2
2015,1,2,1.42622,15,6,8,14.8235,2.0,0,3,2.02778,15,5,7,17.5,1.0,1,Away Win,2
2015,1,0,0.579338,10,1,8,19.25,0.0,0,2,1.57983,16,9,7,9.36,3.0,0,Away Win,2
2015,1,0,1.17588,13,0,5,9.0455,0.0,0,0,0.68359,14,5,2,7.4074,2.0,0,Draw,1
2015,1,0,1.83755,19,5,7,5.6154,1.0,0,0,1.29206,15,8,8,10.4286,4.0,0,Draw,1
2015,1,0,0.0319694,1,0,0,21.8235,6.0,1,1,2.33948,22,9,9,5.5357,1.0,0,Away Win,2
2015,1,0,1.21771,13,5,6,23.8889,1.0,2,1,0.881194,15,5,5,8.9677,4.0,0,Away Win,2
2015,1,2,2.27406,21,6,5,8.6364,2.0,0,2,0.368848,7,3,4,7.35,1.0,0,Draw,1
2015,1,1,0.321432,5,2,4,7.05,2.0,0,1,0.919097,4,2,4,5.1667,4.0,0,Draw,1
2015,1,1,1.27906,26,9,7,8.2,1.0,0,2,2.19283,13,5,7,18.5,1.0,0,Away Win,2
2015,1,0,0.561737,13,1,5,5.9655,3.0,1,3,0.97217,12,5,7,12.0909,1.0,1,Away Win,2
2015,1,2,1.52895,18,5,9,10.1429,1.0,0,0,0.363603,7,0,3,20.4444,2.0,0,Home Win,0
2015,1,0,1.99917,20,6,6,7.4375,4.0,0,0,0.694692,8,3,2,18.5385,1.0,0,Draw,1
2015,1,3,2.85501,23,8,6,10.3333,0.0,0,0,0.639434,6,1,4,25.5833,0.0,1,Home Win,0
2015,1,2,0.971183,9,4,0,15.1739,2.0,0,1,1.28089,11,4,1,6.8966,2.0,0,Home Win,0
2015,1,3,1.18026,14,9,7,15.0476,2.0,0,1,0.656048,15,2,14,7.6154,2.0,0,Home Win,0
2015,1,2,4.42684,29,12,13,6.76,1.0,0,0,0.191277,8,3,1,15.9048,1.0,0,Home Win,0
2015,1,0,0.743193,10,2,4,8.625,2.0,0,1,3.08883,21,7,4,8.5833,3.0,0,Away Win,2
2015,1,1,1.57333,17,6,1,11.2593,1.0,1,0,0.503008,8,3,3,6.7,1.0,0,Home Win,0
2015,1,0,0.409143,8,1,4,20.4118,1.0,0,0,1.00731,15,4,5,8.5556,0.0,0,Draw,1
